entry,at,order
"The player ""Hovz @ HXcCbLW4VE"" stand up with the stack of 154.75.",2023-08-22T05:56:16.890Z,169268377689000
"The player ""Douglas @ dH7QCutUI5"" stand up with the stack of 247.55.",2023-08-22T05:56:10.055Z,169268377005500
"-- ending hand #338 --",2023-08-22T05:56:07.129Z,169268376712902
"""Hovz @ HXcCbLW4VE"" collected 1.00 from pot",2023-08-22T05:56:07.129Z,169268376712901
"Uncalled bet of 0.50 returned to ""Hovz @ HXcCbLW4VE""",2023-08-22T05:56:07.129Z,169268376712900
"""Douglas @ dH7QCutUI5"" folds",2023-08-22T05:56:06.300Z,169268376630000
"""Hovz @ HXcCbLW4VE"" posts a big blind of 1.00",2023-08-22T05:56:03.861Z,169268376386106
"""Douglas @ dH7QCutUI5"" posts a small blind of 0.50",2023-08-22T05:56:03.861Z,169268376386105
"Your hand is 2♠, 7♣",2023-08-22T05:56:03.861Z,169268376386104
"Player stacks: #2 ""Hovz @ HXcCbLW4VE"" (154.25) | #7 ""Douglas @ dH7QCutUI5"" (248.05)",2023-08-22T05:56:03.861Z,169268376386102
"-- starting hand #338 (id: 8zkxrolfvwyv)  (No Limit Texas Hold'em) (dealer: ""Douglas @ dH7QCutUI5"") --",2023-08-22T05:56:03.861Z,169268376386101
"The player ""Actionjackson @ 0OGSYDkE-B"" quits the game with a stack of 173.60.",2023-08-22T05:56:03.861Z,169268376386100
"-- ending hand #337 --",2023-08-22T05:56:00.919Z,169268376091902
"""Hovz @ HXcCbLW4VE"" collected 1.00 from pot",2023-08-22T05:56:00.919Z,169268376091901
"Uncalled bet of 0.50 returned to ""Hovz @ HXcCbLW4VE""",2023-08-22T05:56:00.919Z,169268376091900
"""Douglas @ dH7QCutUI5"" folds",2023-08-22T05:56:00.066Z,169268376006600
"""Actionjackson @ 0OGSYDkE-B"" folds",2023-08-22T05:55:59.119Z,169268375911900
"""Hovz @ HXcCbLW4VE"" posts a big blind of 1.00",2023-08-22T05:55:56.723Z,169268375672306
"""Douglas @ dH7QCutUI5"" posts a small blind of 0.50",2023-08-22T05:55:56.723Z,169268375672305
"Your hand is 5♠, 4♥",2023-08-22T05:55:56.723Z,169268375672304
"Player stacks: #2 ""Hovz @ HXcCbLW4VE"" (153.75) | #4 ""Actionjackson @ 0OGSYDkE-B"" (173.60) | #7 ""Douglas @ dH7QCutUI5"" (248.55)",2023-08-22T05:55:56.723Z,169268375672301
"-- starting hand #337 (id: msvrcegaowll)  (No Limit Texas Hold'em) (dealer: ""Actionjackson @ 0OGSYDkE-B"") --",2023-08-22T05:55:56.723Z,169268375672300
"""Actionjackson @ 0OGSYDkE-B"" shows a A♦, Q♣.",2023-08-22T05:55:54.242Z,169268375424200
"-- ending hand #336 --",2023-08-22T05:55:53.113Z,169268375311302
"""Douglas @ dH7QCutUI5"" collected 107.00 from pot",2023-08-22T05:55:53.113Z,169268375311301
"Uncalled bet of 40.00 returned to ""Douglas @ dH7QCutUI5""",2023-08-22T05:55:53.113Z,169268375311300
"""Actionjackson @ 0OGSYDkE-B"" folds",2023-08-22T05:55:52.243Z,169268375224300
"""Douglas @ dH7QCutUI5"" bets 40.00",2023-08-22T05:55:42.476Z,169268374247600
"""Actionjackson @ 0OGSYDkE-B"" checks",2023-08-22T05:55:36.796Z,169268373679600
"Turn: Q♠, 4♥, 4♣ [K♥]",2023-08-22T05:55:34.326Z,169268373432600
"""Douglas @ dH7QCutUI5"" calls 25.00",2023-08-22T05:55:33.503Z,169268373350300
"""Actionjackson @ 0OGSYDkE-B"" bets 25.00",2023-08-22T05:55:28.454Z,169268372845400
"Flop:  [Q♠, 4♥, 4♣]",2023-08-22T05:55:18.089Z,169268371808900
"""Actionjackson @ 0OGSYDkE-B"" calls 27.00",2023-08-22T05:55:17.248Z,169268371724800
"""Hovz @ HXcCbLW4VE"" folds",2023-08-22T05:55:10.366Z,169268371036600
"""Douglas @ dH7QCutUI5"" raises to 27.00",2023-08-22T05:55:02.855Z,169268370285500
"""Actionjackson @ 0OGSYDkE-B"" raises to 9.00",2023-08-22T05:54:56.347Z,169268369634700
"""Hovz @ HXcCbLW4VE"" raises to 3.00",2023-08-22T05:54:52.206Z,169268369220600
"""Douglas @ dH7QCutUI5"" posts a big blind of 1.00",2023-08-22T05:54:49.698Z,169268368969806
"""Actionjackson @ 0OGSYDkE-B"" posts a small blind of 0.50",2023-08-22T05:54:49.698Z,169268368969805
"Your hand is A♣, K♦",2023-08-22T05:54:49.698Z,169268368969804
"Player stacks: #2 ""Hovz @ HXcCbLW4VE"" (156.75) | #4 ""Actionjackson @ 0OGSYDkE-B"" (225.60) | #7 ""Douglas @ dH7QCutUI5"" (193.55)",2023-08-22T05:54:49.698Z,169268368969801
"-- starting hand #336 (id: ajshvrfj7hoj)  (No Limit Texas Hold'em) (dealer: ""Hovz @ HXcCbLW4VE"") --",2023-08-22T05:54:49.698Z,169268368969800
"-- ending hand #335 --",2023-08-22T05:54:46.750Z,169268368675002
"""Hovz @ HXcCbLW4VE"" collected 2.00 from pot",2023-08-22T05:54:46.750Z,169268368675001
"Uncalled bet of 2.00 returned to ""Hovz @ HXcCbLW4VE""",2023-08-22T05:54:46.750Z,169268368675000
"""Actionjackson @ 0OGSYDkE-B"" folds",2023-08-22T05:54:45.916Z,169268368591600
"""Hovz @ HXcCbLW4VE"" raises to 3.00",2023-08-22T05:54:43.596Z,169268368359600
"""Douglas @ dH7QCutUI5"" folds",2023-08-22T05:54:39.222Z,169268367922200
"""Actionjackson @ 0OGSYDkE-B"" posts a big blind of 1.00",2023-08-22T05:54:38.211Z,169268367821106
"""Hovz @ HXcCbLW4VE"" posts a small blind of 0.50",2023-08-22T05:54:38.211Z,169268367821105
"Your hand is 9♥, 3♣",2023-08-22T05:54:38.211Z,169268367821104
"Player stacks: #2 ""Hovz @ HXcCbLW4VE"" (155.75) | #4 ""Actionjackson @ 0OGSYDkE-B"" (226.60) | #7 ""Douglas @ dH7QCutUI5"" (193.55)",2023-08-22T05:54:38.211Z,169268367821101
"-- starting hand #335 (id: qbtsegqiufkg)  (No Limit Texas Hold'em) (dealer: ""Douglas @ dH7QCutUI5"") --",2023-08-22T05:54:38.211Z,169268367821100
"-- ending hand #334 --",2023-08-22T05:54:32.192Z,169268367219203
"""Hovz @ HXcCbLW4VE"" shows a A♦, 7♠.",2023-08-22T05:54:32.192Z,169268367219202
"""Actionjackson @ 0OGSYDkE-B"" collected 45.00 from pot with Three of a Kind, 6's (combination: 6♣, 6♠, 6♦, A♠, 10♦)",2023-08-22T05:54:32.192Z,169268367219201
"""Actionjackson @ 0OGSYDkE-B"" shows a 6♣, 6♠.",2023-08-22T05:54:32.192Z,169268367219200
"""Actionjackson @ 0OGSYDkE-B"" calls 11.25",2023-08-22T05:54:31.381Z,169268367138100
"""Hovz @ HXcCbLW4VE"" bets 11.25",2023-08-22T05:54:27.916Z,169268366791600
"River: 4♦, 6♦, 3♠, 10♦ [A♠]",2023-08-22T05:54:23.468Z,169268366346800
"""Actionjackson @ 0OGSYDkE-B"" checks",2023-08-22T05:54:22.622Z,169268366262200
"""Hovz @ HXcCbLW4VE"" checks",2023-08-22T05:54:19.724Z,169268365972400
"Turn: 4♦, 6♦, 3♠ [10♦]",2023-08-22T05:54:16.573Z,169268365657300
"""Hovz @ HXcCbLW4VE"" calls 8.00",2023-08-22T05:54:15.736Z,169268365573600
"""Actionjackson @ 0OGSYDkE-B"" raises to 8.00",2023-08-22T05:54:13.551Z,169268365355100
"""Hovz @ HXcCbLW4VE"" bets 3.25",2023-08-22T05:54:04.360Z,169268364436000
"Flop:  [4♦, 6♦, 3♠]",2023-08-22T05:53:59.638Z,169268363963800
"""Hovz @ HXcCbLW4VE"" calls 3.00",2023-08-22T05:53:58.823Z,169268363882300
"""Douglas @ dH7QCutUI5"" folds",2023-08-22T05:53:57.090Z,169268363709000
"""Actionjackson @ 0OGSYDkE-B"" raises to 3.00",2023-08-22T05:53:56.246Z,169268363624600
"""Hovz @ HXcCbLW4VE"" posts a big blind of 1.00",2023-08-22T05:53:51.710Z,169268363171006
"""Douglas @ dH7QCutUI5"" posts a small blind of 0.50",2023-08-22T05:53:51.710Z,169268363171005
"Your hand is 5♣, 9♥",2023-08-22T05:53:51.710Z,169268363171004
"Player stacks: #2 ""Hovz @ HXcCbLW4VE"" (178.00) | #4 ""Actionjackson @ 0OGSYDkE-B"" (203.85) | #7 ""Douglas @ dH7QCutUI5"" (194.05)",2023-08-22T05:53:51.710Z,169268363171001
"-- starting hand #334 (id: a0fedz3scnnn)  (No Limit Texas Hold'em) (dealer: ""Actionjackson @ 0OGSYDkE-B"") --",2023-08-22T05:53:51.710Z,169268363171000
"-- ending hand #333 --",2023-08-22T05:53:45.691Z,169268362569102
"""Actionjackson @ 0OGSYDkE-B"" collected 7.00 from pot with Flush, Kc High (combination: K♣, Q♣, J♣, 9♣, 4♣)",2023-08-22T05:53:45.691Z,169268362569101
"""Actionjackson @ 0OGSYDkE-B"" shows a Q♣, J♣.",2023-08-22T05:53:45.691Z,169268362569100
"""Hovz @ HXcCbLW4VE"" checks",2023-08-22T05:53:44.888Z,169268362488800
"""Actionjackson @ 0OGSYDkE-B"" checks",2023-08-22T05:53:41.650Z,169268362165000
"River: 4♣, 3♦, 9♣, K♣ [4♥]",2023-08-22T05:53:39.080Z,169268361908000
"""Hovz @ HXcCbLW4VE"" checks",2023-08-22T05:53:38.245Z,169268361824500
"""Actionjackson @ 0OGSYDkE-B"" checks",2023-08-22T05:53:36.539Z,169268361653900
"Turn: 4♣, 3♦, 9♣ [K♣]",2023-08-22T05:53:34.961Z,169268361496100
"""Hovz @ HXcCbLW4VE"" checks",2023-08-22T05:53:34.090Z,169268361409000
"""Actionjackson @ 0OGSYDkE-B"" checks",2023-08-22T05:53:31.174Z,169268361117400
"Flop:  [4♣, 3♦, 9♣]",2023-08-22T05:53:28.760Z,169268360876000
"""Douglas @ dH7QCutUI5"" folds",2023-08-22T05:53:27.896Z,169268360789600
"""Actionjackson @ 0OGSYDkE-B"" calls 3.00",2023-08-22T05:53:27.032Z,169268360703200
"""Hovz @ HXcCbLW4VE"" raises to 3.00",2023-08-22T05:53:25.530Z,169268360553000
"""Douglas @ dH7QCutUI5"" posts a big blind of 1.00",2023-08-22T05:53:23.058Z,169268360305806
"""Actionjackson @ 0OGSYDkE-B"" posts a small blind of 0.50",2023-08-22T05:53:23.058Z,169268360305805
"Your hand is 3♠, 6♣",2023-08-22T05:53:23.058Z,169268360305804
"Player stacks: #2 ""Hovz @ HXcCbLW4VE"" (181.00) | #4 ""Actionjackson @ 0OGSYDkE-B"" (199.85) | #7 ""Douglas @ dH7QCutUI5"" (195.05)",2023-08-22T05:53:23.058Z,169268360305801
"-- starting hand #333 (id: jkdyttbaf8nk)  (No Limit Texas Hold'em) (dealer: ""Hovz @ HXcCbLW4VE"") --",2023-08-22T05:53:23.058Z,169268360305800
"-- ending hand #332 --",2023-08-22T05:53:20.107Z,169268360010702
"""Actionjackson @ 0OGSYDkE-B"" collected 1.00 from pot",2023-08-22T05:53:20.107Z,169268360010701
"Uncalled bet of 0.50 returned to ""Actionjackson @ 0OGSYDkE-B""",2023-08-22T05:53:20.107Z,169268360010700
"""Hovz @ HXcCbLW4VE"" folds",2023-08-22T05:53:19.281Z,169268359928100
"""Douglas @ dH7QCutUI5"" folds",2023-08-22T05:53:16.799Z,169268359679900
"""Actionjackson @ 0OGSYDkE-B"" posts a big blind of 1.00",2023-08-22T05:53:15.769Z,169268359576906
"""Hovz @ HXcCbLW4VE"" posts a small blind of 0.50",2023-08-22T05:53:15.769Z,169268359576905
"Your hand is 5♦, 2♠",2023-08-22T05:53:15.769Z,169268359576904
"Player stacks: #2 ""Hovz @ HXcCbLW4VE"" (181.50) | #4 ""Actionjackson @ 0OGSYDkE-B"" (199.35) | #7 ""Douglas @ dH7QCutUI5"" (195.05)",2023-08-22T05:53:15.769Z,169268359576901
"-- starting hand #332 (id: 6sownounbxoc)  (No Limit Texas Hold'em) (dealer: ""Douglas @ dH7QCutUI5"") --",2023-08-22T05:53:15.769Z,169268359576900
"-- ending hand #331 --",2023-08-22T05:53:12.829Z,169268359282902
"""Hovz @ HXcCbLW4VE"" collected 1.00 from pot",2023-08-22T05:53:12.829Z,169268359282901
"Uncalled bet of 0.50 returned to ""Hovz @ HXcCbLW4VE""",2023-08-22T05:53:12.829Z,169268359282900
"""Douglas @ dH7QCutUI5"" folds",2023-08-22T05:53:11.993Z,169268359199300
"""Actionjackson @ 0OGSYDkE-B"" folds",2023-08-22T05:53:11.140Z,169268359114000
"""Hovz @ HXcCbLW4VE"" posts a big blind of 1.00",2023-08-22T05:53:09.958Z,169268358995806
"""Douglas @ dH7QCutUI5"" posts a small blind of 0.50",2023-08-22T05:53:09.958Z,169268358995805
"Your hand is 4♠, 2♥",2023-08-22T05:53:09.958Z,169268358995804
"Player stacks: #2 ""Hovz @ HXcCbLW4VE"" (181.00) | #4 ""Actionjackson @ 0OGSYDkE-B"" (199.35) | #7 ""Douglas @ dH7QCutUI5"" (195.55)",2023-08-22T05:53:09.958Z,169268358995801
"-- starting hand #331 (id: skikdtwnapuh)  (No Limit Texas Hold'em) (dealer: ""Actionjackson @ 0OGSYDkE-B"") --",2023-08-22T05:53:09.958Z,169268358995800
"-- ending hand #330 --",2023-08-22T05:53:07.022Z,169268358702202
"""Douglas @ dH7QCutUI5"" collected 1.00 from pot",2023-08-22T05:53:07.022Z,169268358702201
"Uncalled bet of 0.50 returned to ""Douglas @ dH7QCutUI5""",2023-08-22T05:53:07.022Z,169268358702200
"""Actionjackson @ 0OGSYDkE-B"" folds",2023-08-22T05:53:06.168Z,169268358616800
"""Hovz @ HXcCbLW4VE"" folds",2023-08-22T05:53:05.264Z,169268358526400
"""Douglas @ dH7QCutUI5"" posts a big blind of 1.00",2023-08-22T05:53:03.750Z,169268358375006
"""Actionjackson @ 0OGSYDkE-B"" posts a small blind of 0.50",2023-08-22T05:53:03.750Z,169268358375005
"Your hand is Q♦, 8♥",2023-08-22T05:53:03.750Z,169268358375004
"Player stacks: #2 ""Hovz @ HXcCbLW4VE"" (181.00) | #4 ""Actionjackson @ 0OGSYDkE-B"" (199.85) | #7 ""Douglas @ dH7QCutUI5"" (195.05)",2023-08-22T05:53:03.750Z,169268358375001
"-- starting hand #330 (id: sfoxwp7s0vty)  (No Limit Texas Hold'em) (dealer: ""Hovz @ HXcCbLW4VE"") --",2023-08-22T05:53:03.750Z,169268358375000
"-- ending hand #329 --",2023-08-22T05:52:57.706Z,169268357770603
"""Actionjackson @ 0OGSYDkE-B"" shows a J♣, A♦.",2023-08-22T05:52:57.706Z,169268357770602
"""Douglas @ dH7QCutUI5"" collected 47.00 from pot with Two Pair, K's & 8's (combination: K♠, K♥, 8♣, 8♥, 7♦)",2023-08-22T05:52:57.706Z,169268357770601
"""Douglas @ dH7QCutUI5"" shows a 7♦, 8♣.",2023-08-22T05:52:57.706Z,169268357770600
"""Douglas @ dH7QCutUI5"" checks",2023-08-22T05:52:56.860Z,169268357686000
"""Actionjackson @ 0OGSYDkE-B"" checks",2023-08-22T05:52:56.006Z,169268357600600
"River: K♠, 8♥, K♥, 2♣ [6♠]",2023-08-22T05:52:54.831Z,169268357483100
"""Actionjackson @ 0OGSYDkE-B"" calls 10.00",2023-08-22T05:52:53.960Z,169268357396000
"""Hovz @ HXcCbLW4VE"" folds",2023-08-22T05:52:52.224Z,169268357222400
"""Douglas @ dH7QCutUI5"" bets 10.00",2023-08-22T05:52:50.529Z,169268357052900
"""Actionjackson @ 0OGSYDkE-B"" checks",2023-08-22T05:52:47.329Z,169268356732900
"""Hovz @ HXcCbLW4VE"" checks",2023-08-22T05:52:46.010Z,169268356601000
"Turn: K♠, 8♥, K♥ [2♣]",2023-08-22T05:52:44.444Z,169268356444400
"""Douglas @ dH7QCutUI5"" checks",2023-08-22T05:52:43.637Z,169268356363700
"""Actionjackson @ 0OGSYDkE-B"" checks",2023-08-22T05:52:42.215Z,169268356221500
"""Hovz @ HXcCbLW4VE"" checks",2023-08-22T05:52:39.956Z,169268355995600
"Flop:  [K♠, 8♥, K♥]",2023-08-22T05:52:37.681Z,169268355768100
"""Hovz @ HXcCbLW4VE"" calls 9.00",2023-08-22T05:52:36.871Z,169268355687100
"""Douglas @ dH7QCutUI5"" calls 9.00",2023-08-22T05:52:35.297Z,169268355529700
"""Actionjackson @ 0OGSYDkE-B"" raises to 9.00",2023-08-22T05:52:33.063Z,169268355306300
"""Hovz @ HXcCbLW4VE"" calls 3.00",2023-08-22T05:52:26.984Z,169268354698400
"""Douglas @ dH7QCutUI5"" raises to 3.00",2023-08-22T05:52:24.713Z,169268354471300
"""Actionjackson @ 0OGSYDkE-B"" posts a big blind of 1.00",2023-08-22T05:52:22.964Z,169268354296406
"""Hovz @ HXcCbLW4VE"" posts a small blind of 0.50",2023-08-22T05:52:22.964Z,169268354296405
"Your hand is 7♦, 8♣",2023-08-22T05:52:22.964Z,169268354296404
"Player stacks: #2 ""Hovz @ HXcCbLW4VE"" (190.00) | #4 ""Actionjackson @ 0OGSYDkE-B"" (218.85) | #7 ""Douglas @ dH7QCutUI5"" (167.05)",2023-08-22T05:52:22.964Z,169268354296401
"-- starting hand #329 (id: jfwtphq8pycl)  (No Limit Texas Hold'em) (dealer: ""Douglas @ dH7QCutUI5"") --",2023-08-22T05:52:22.964Z,169268354296400
"-- ending hand #328 --",2023-08-22T05:52:16.852Z,169268353685203
"""Douglas @ dH7QCutUI5"" shows a Q♠, 5♠.",2023-08-22T05:52:16.852Z,169268353685202
"""Hovz @ HXcCbLW4VE"" collected 3.00 from pot with Two Pair, 10's & 3's (combination: 10♦, 10♣, 3♠, 3♣, J♣)",2023-08-22T05:52:16.852Z,169268353685201
"""Hovz @ HXcCbLW4VE"" shows a 7♠, 3♠.",2023-08-22T05:52:16.852Z,169268353685200
"""Actionjackson @ 0OGSYDkE-B"" checks",2023-08-22T05:52:16.007Z,169268353600700
"""Hovz @ HXcCbLW4VE"" checks",2023-08-22T05:52:14.928Z,169268353492800
"""Douglas @ dH7QCutUI5"" checks",2023-08-22T05:52:12.799Z,169268353279900
"River: 10♦, 3♣, J♣, 10♣ [9♦]",2023-08-22T05:52:12.154Z,169268353215400
"""Actionjackson @ 0OGSYDkE-B"" checks",2023-08-22T05:52:11.270Z,169268353127000
"""Hovz @ HXcCbLW4VE"" checks",2023-08-22T05:52:09.962Z,169268352996200
"""Douglas @ dH7QCutUI5"" checks",2023-08-22T05:52:07.787Z,169268352778700
"Turn: 10♦, 3♣, J♣ [10♣]",2023-08-22T05:52:07.032Z,169268352703200
"""Actionjackson @ 0OGSYDkE-B"" checks",2023-08-22T05:52:06.209Z,169268352620900
"""Hovz @ HXcCbLW4VE"" checks",2023-08-22T05:52:05.012Z,169268352501200
"""Douglas @ dH7QCutUI5"" checks",2023-08-22T05:52:02.663Z,169268352266300
"Flop:  [10♦, 3♣, J♣]",2023-08-22T05:52:00.826Z,169268352082600
"""Hovz @ HXcCbLW4VE"" checks",2023-08-22T05:52:00.017Z,169268352001700
"""Douglas @ dH7QCutUI5"" calls 1.00",2023-08-22T05:51:57.596Z,169268351759600
"""Actionjackson @ 0OGSYDkE-B"" calls 1.00",2023-08-22T05:51:56.474Z,169268351647400
"""Hovz @ HXcCbLW4VE"" posts a big blind of 1.00",2023-08-22T05:51:54.644Z,169268351464406
"""Douglas @ dH7QCutUI5"" posts a small blind of 0.50",2023-08-22T05:51:54.644Z,169268351464405
"Your hand is Q♠, 5♠",2023-08-22T05:51:54.644Z,169268351464404
"Player stacks: #2 ""Hovz @ HXcCbLW4VE"" (188.00) | #4 ""Actionjackson @ 0OGSYDkE-B"" (219.85) | #7 ""Douglas @ dH7QCutUI5"" (168.05)",2023-08-22T05:51:54.644Z,169268351464401
"-- starting hand #328 (id: eaayhe8t8mpj)  (No Limit Texas Hold'em) (dealer: ""Actionjackson @ 0OGSYDkE-B"") --",2023-08-22T05:51:54.644Z,169268351464400
"-- ending hand #327 --",2023-08-22T05:51:51.704Z,169268351170402
"""Douglas @ dH7QCutUI5"" collected 1.00 from pot",2023-08-22T05:51:51.704Z,169268351170401
"Uncalled bet of 0.50 returned to ""Douglas @ dH7QCutUI5""",2023-08-22T05:51:51.704Z,169268351170400
"""Actionjackson @ 0OGSYDkE-B"" folds",2023-08-22T05:51:50.864Z,169268351086400
"""Hovz @ HXcCbLW4VE"" folds",2023-08-22T05:51:44.010Z,169268350401000
"""Douglas @ dH7QCutUI5"" posts a big blind of 1.00",2023-08-22T05:51:42.682Z,169268350268206
"""Actionjackson @ 0OGSYDkE-B"" posts a small blind of 0.50",2023-08-22T05:51:42.682Z,169268350268205
"Your hand is 3♣, 6♥",2023-08-22T05:51:42.682Z,169268350268204
"Player stacks: #2 ""Hovz @ HXcCbLW4VE"" (188.00) | #4 ""Actionjackson @ 0OGSYDkE-B"" (220.35) | #7 ""Douglas @ dH7QCutUI5"" (167.55)",2023-08-22T05:51:42.682Z,169268350268201
"-- starting hand #327 (id: gt7dwbt93hwy)  (No Limit Texas Hold'em) (dealer: ""Hovz @ HXcCbLW4VE"") --",2023-08-22T05:51:42.682Z,169268350268200
"-- ending hand #326 --",2023-08-22T05:51:39.710Z,169268349971002
"""Douglas @ dH7QCutUI5"" collected 2.50 from pot",2023-08-22T05:51:39.710Z,169268349971001
"Uncalled bet of 2.00 returned to ""Douglas @ dH7QCutUI5""",2023-08-22T05:51:39.710Z,169268349971000
"""Actionjackson @ 0OGSYDkE-B"" folds",2023-08-22T05:51:38.903Z,169268349890300
"""Hovz @ HXcCbLW4VE"" folds",2023-08-22T05:51:37.572Z,169268349757200
"""Douglas @ dH7QCutUI5"" raises to 3.00",2023-08-22T05:51:29.788Z,169268348978800
"""Actionjackson @ 0OGSYDkE-B"" posts a big blind of 1.00",2023-08-22T05:51:27.976Z,169268348797606
"""Hovz @ HXcCbLW4VE"" posts a small blind of 0.50",2023-08-22T05:51:27.976Z,169268348797605
"Your hand is 3♠, 9♠",2023-08-22T05:51:27.976Z,169268348797604
"Player stacks: #2 ""Hovz @ HXcCbLW4VE"" (188.50) | #4 ""Actionjackson @ 0OGSYDkE-B"" (221.35) | #7 ""Douglas @ dH7QCutUI5"" (166.05)",2023-08-22T05:51:27.976Z,169268348797601
"-- starting hand #326 (id: fpcijphozbyz)  (No Limit Texas Hold'em) (dealer: ""Douglas @ dH7QCutUI5"") --",2023-08-22T05:51:27.976Z,169268348797600
"-- ending hand #325 --",2023-08-22T05:51:25.061Z,169268348506102
"""Hovz @ HXcCbLW4VE"" collected 12.00 from pot",2023-08-22T05:51:25.061Z,169268348506101
"Uncalled bet of 7.00 returned to ""Hovz @ HXcCbLW4VE""",2023-08-22T05:51:25.061Z,169268348506100
"""Douglas @ dH7QCutUI5"" folds",2023-08-22T05:51:24.228Z,169268348422800
"""Hovz @ HXcCbLW4VE"" raises to 10.00",2023-08-22T05:51:21.185Z,169268348118500
"""Douglas @ dH7QCutUI5"" bets 3.00",2023-08-22T05:51:16.719Z,169268347671900
"Turn: 5♦, 6♥, K♠ [8♥]",2023-08-22T05:51:15.036Z,169268347503600
"""Hovz @ HXcCbLW4VE"" checks",2023-08-22T05:51:14.151Z,169268347415100
"""Douglas @ dH7QCutUI5"" checks",2023-08-22T05:51:12.175Z,169268347217500
"Flop:  [5♦, 6♥, K♠]",2023-08-22T05:51:11.119Z,169268347111900
"""Hovz @ HXcCbLW4VE"" calls 3.00",2023-08-22T05:51:10.291Z,169268347029100
"""Douglas @ dH7QCutUI5"" raises to 3.00",2023-08-22T05:51:08.395Z,169268346839500
"""Actionjackson @ 0OGSYDkE-B"" folds",2023-08-22T05:51:05.457Z,169268346545700
"""Hovz @ HXcCbLW4VE"" posts a big blind of 1.00",2023-08-22T05:51:04.016Z,169268346401606
"""Douglas @ dH7QCutUI5"" posts a small blind of 0.50",2023-08-22T05:51:04.016Z,169268346401605
"Your hand is A♠, Q♥",2023-08-22T05:51:04.016Z,169268346401604
"Player stacks: #2 ""Hovz @ HXcCbLW4VE"" (182.50) | #4 ""Actionjackson @ 0OGSYDkE-B"" (221.35) | #7 ""Douglas @ dH7QCutUI5"" (172.05)",2023-08-22T05:51:04.016Z,169268346401601
"-- starting hand #325 (id: dhwn1dyao6ov)  (No Limit Texas Hold'em) (dealer: ""Actionjackson @ 0OGSYDkE-B"") --",2023-08-22T05:51:04.016Z,169268346401600
"-- ending hand #324 --",2023-08-22T05:50:58.000Z,169268345800003
"""Actionjackson @ 0OGSYDkE-B"" shows a K♥, Q♠.",2023-08-22T05:50:58.000Z,169268345800002
"""Douglas @ dH7QCutUI5"" collected 62.00 from pot with Two Pair, 9's & 7's (combination: 9♠, 9♦, 7♣, 7♥, J♦)",2023-08-22T05:50:58.000Z,169268345800001
"""Douglas @ dH7QCutUI5"" shows a 10♠, 9♠.",2023-08-22T05:50:58.000Z,169268345800000
"""Douglas @ dH7QCutUI5"" calls 25.00",2023-08-22T05:50:57.112Z,169268345711200
"""Actionjackson @ 0OGSYDkE-B"" raises to 25.00",2023-08-22T05:50:53.240Z,169268345324000
"""Douglas @ dH7QCutUI5"" bets 6.00",2023-08-22T05:50:43.238Z,169268344323800
"""Actionjackson @ 0OGSYDkE-B"" checks",2023-08-22T05:50:41.133Z,169268344113300
"River: 2♣, 9♦, 7♣, 7♥ [J♦]",2023-08-22T05:50:39.684Z,169268343968400
"""Douglas @ dH7QCutUI5"" checks",2023-08-22T05:50:38.866Z,169268343886600
"""Actionjackson @ 0OGSYDkE-B"" checks",2023-08-22T05:50:37.875Z,169268343787500
"Turn: 2♣, 9♦, 7♣ [7♥]",2023-08-22T05:50:36.758Z,169268343675800
"""Actionjackson @ 0OGSYDkE-B"" calls 3.00",2023-08-22T05:50:35.946Z,169268343594600
"""Douglas @ dH7QCutUI5"" bets 3.00",2023-08-22T05:50:34.633Z,169268343463300
"""Actionjackson @ 0OGSYDkE-B"" checks",2023-08-22T05:50:32.426Z,169268343242600
"Flop:  [2♣, 9♦, 7♣]",2023-08-22T05:50:30.025Z,169268343002500
"""Douglas @ dH7QCutUI5"" calls 3.00",2023-08-22T05:50:29.197Z,169268342919700
"""Actionjackson @ 0OGSYDkE-B"" raises to 3.00",2023-08-22T05:50:27.306Z,169268342730600
"""Hovz @ HXcCbLW4VE"" folds",2023-08-22T05:50:24.294Z,169268342429400
"""Douglas @ dH7QCutUI5"" posts a big blind of 1.00",2023-08-22T05:50:22.661Z,169268342266106
"""Actionjackson @ 0OGSYDkE-B"" posts a small blind of 0.50",2023-08-22T05:50:22.661Z,169268342266105
"Your hand is 10♠, 9♠",2023-08-22T05:50:22.661Z,169268342266104
"Player stacks: #2 ""Hovz @ HXcCbLW4VE"" (182.50) | #4 ""Actionjackson @ 0OGSYDkE-B"" (252.35) | #7 ""Douglas @ dH7QCutUI5"" (141.05)",2023-08-22T05:50:22.661Z,169268342266101
"-- starting hand #324 (id: t8roqfubmeno)  (No Limit Texas Hold'em) (dealer: ""Hovz @ HXcCbLW4VE"") --",2023-08-22T05:50:22.661Z,169268342266100
"-- ending hand #323 --",2023-08-22T05:50:19.726Z,169268341972602
"""Douglas @ dH7QCutUI5"" collected 2.50 from pot",2023-08-22T05:50:19.726Z,169268341972601
"Uncalled bet of 2.00 returned to ""Douglas @ dH7QCutUI5""",2023-08-22T05:50:19.726Z,169268341972600
"""Actionjackson @ 0OGSYDkE-B"" folds",2023-08-22T05:50:18.883Z,169268341888300
"""Hovz @ HXcCbLW4VE"" folds",2023-08-22T05:50:16.331Z,169268341633100
"""Douglas @ dH7QCutUI5"" raises to 3.00",2023-08-22T05:50:13.768Z,169268341376800
